fibrosis_type,fiber_angle_deg,density,seed,atpi,final_time_ms
compact,0,0.3,16858,2.0,0.0
compact,0,0.3,31828,2.0,0.0
compact,0,0.3,18561,2.0,0.0
compact,0,0.3,37106,2.0,0.0
compact,0,0.3,95865,2.0,0.0
compact,0,0.3,6797,2.0,0.0
compact,0,0.3,85634,2.0,0.0
compact,0,0.3,3677,2.0,0.0
compact,0,0.3,94215,2.0,0.0
compact,0,0.3,67389,2.0,0.0
compact,0,0.3,58477,2.0,0.0
compact,0,0.3,41169,2.0,0.0
compact,0,0.3,44373,2.0,0.0
compact,0,0.3,13391,2.0,0.0
compact,0,0.3,13265,2.0,0.0
compact,0,0.3,92885,2.0,0.0
compact,0,0.3,56788,2.0,0.0
compact,0,0.3,44442,2.0,0.0
compact,0,0.3,29545,2.0,0.0
compact,0,0.3,4443,2.0,0.0
compact,0,0.3,39454,2.0,0.0
compact,0,0.3,10608,2.0,0.0
compact,0,0.3,86974,2.0,0.0
compact,0,0.3,83746,2.0,0.0
compact,0,0.3,86361,2.0,0.0
compact,0,0.3,42449,2.0,0.0
compact,0,0.3,253,2.0,0.0
compact,0,0.3,94754,2.0,0.0
compact,0,0.3,91205,2.0,0.0
compact,0,0.3,59127,2.0,0.0
compact,0,0.3,78940,2.0,0.0
compact,0,0.3,68847,2.0,0.0
compact,0,0.3,55604,2.0,0.0
compact,0,0.3,99258,2.0,0.0
compact,0,0.3,44717,2.0,0.0
compact,0,0.3,85405,2.0,0.0
compact,0,0.3,15192,2.0,0.0
compact,0,0.3,63894,2.0,0.0
compact,0,0.3,57098,2.0,0.0
compact,0,0.3,11035,2.0,0.0
compact,0,0.3,61603,2.0,0.0
compact,0,0.3,5779,2.0,0.0
compact,0,0.3,30615,2.0,0.0
compact,0,0.3,35184,2.0,0.0
compact,0,0.3,52447,2.0,0.0
compact,0,0.3,19117,2.0,0.0
compact,0,0.3,18934,2.0,0.0
compact,0,0.3,28902,2.0,0.0
compact,0,0.3,11524,2.0,0.0
compact,0,0.35,45240,2.0,0.0
compact,0,0.35,23230,2.0,0.0
compact,0,0.35,65155,2.0,0.0
compact,0,0.35,82809,2.0,0.0
compact,0,0.35,5677,2.0,0.0
compact,0,0.35,52796,2.0,0.0
compact,0,0.35,46897,2.0,0.0
compact,0,0.35,90559,2.0,0.0
compact,0,0.35,38775,2.0,0.0
compact,0,0.35,16756,2.0,0.0
compact,0,0.35,29551,2.0,0.0
compact,0,0.35,73575,2.0,0.0
compact,0,0.35,1104,2.0,0.0
compact,0,0.35,90527,2.0,0.0
compact,0,0.35,98995,2.0,0.0
compact,0,0.35,35564,2.0,0.0
compact,0,0.35,87119,2.0,0.0
compact,0,0.35,81477,2.0,0.0
compact,0,0.35,5862,2.0,0.0
compact,0,0.35,66578,2.0,0.0
compact,0,0.35,82077,2.0,0.0
compact,0,0.35,24294,2.0,0.0
compact,0,0.35,68937,2.0,0.0
compact,0,0.35,78434,2.0,0.0
compact,0,0.35,49941,2.0,0.0
compact,0,0.35,77737,2.0,0.0
compact,0,0.35,71425,2.0,0.0
compact,0,0.35,49360,2.0,0.0
compact,0,0.35,87525,2.0,0.0
compact,0,0.35,58591,2.0,1000.0
compact,0,0.35,25439,2.0,0.0
compact,0,0.35,62885,2.0,0.0
compact,0,0.35,56,2.0,0.0
compact,0,0.35,51267,2.0,0.0
compact,0,0.35,40086,2.0,0.0
compact,0,0.35,46016,2.0,0.0
compact,0,0.35,38158,2.0,0.0
