fibrosis_type,fiber_angle_deg,density,seed,atpi,final_time_ms
interstitial,0,0.1,3320004656,2.0,0.0
patchy,0,0.1,7828718996,2.0,0.0
diffuse,0,0.1,1675625465,2.0,0.0
compact,0,0.1,4343857888,2.0,0.0
interstitial,0,0.1,6101075833,2.0,0.0
patchy,0,0.1,3188582674,2.0,0.0
interstitial,0,0.1,6668470416,2.0,0.0
diffuse,0,0.1,7357558571,2.0,0.0
compact,0,0.1,1685771831,2.0,0.0
patchy,0,0.1,3320004656,2.0,0.0
interstitial,0,0.1,2625501404,2.0,0.0
patchy,0,0.1,6101075833,2.0,0.0
compact,0,0.1,1856097065,2.0,0.0
diffuse,0,0.1,9052842836,2.0,0.0
interstitial,0,0.1,4343857888,2.0,0.0
patchy,0,0.1,6668470416,2.0,0.0
interstitial,0,0.1,1685771831,2.0,0.0
compact,0,0.1,9586652161,2.0,0.0
diffuse,0,0.1,3556407089,2.0,0.0
patchy,0,0.1,2625501404,2.0,0.0
interstitial,0,0.1,1856097065,2.0,0.0
patchy,0,0.1,4343857888,2.0,0.0
interstitial,0,0.1,9586652161,2.0,0.0
compact,0,0.1,8563501408,2.0,0.0
diffuse,0,0.1,8147802193,2.0,0.0
patchy,0,0.1,1685771831,2.0,0.0
interstitial,0,0.1,8563501408,2.0,0.0
patchy,0,0.1,1856097065,2.0,0.0
interstitial,0,0.1,9421603667,2.0,0.0
compact,0,0.1,9421603667,2.0,0.0
diffuse,0,0.1,6657838753,2.0,0.0
patchy,0,0.1,9586652161,2.0,0.0
interstitial,0,0.1,5847722053,2.0,0.0
compact,0,0.1,5847722053,2.0,0.0
diffuse,0,0.1,2429371439,2.0,0.0
interstitial,0,0.1,4437314296,2.0,0.0
patchy,0,0.1,8563501408,2.0,0.0
compact,0,0.1,4437314296,2.0,0.0
interstitial,0,0.1,1326487139,2.0,0.0
patchy,0,0.1,9421603667,2.0,0.0
diffuse,0,0.1,7843554712,2.0,0.0
interstitial,0,0.1,5678886323,2.0,0.0
patchy,0,0.1,5847722053,2.0,0.0
compact,0,0.1,1326487139,2.0,0.0
diffuse,0,0.1,7773847238,2.0,0.0
interstitial,0,0.1,2954531406,2.0,0.0
patchy,0,0.1,4437314296,2.0,0.0
interstitial,0,0.1,3945455660,2.0,0.0
compact,0,0.1,5678886323,2.0,0.0
patchy,0,0.1,1326487139,2.0,0.0
diffuse,0,0.1,4936034257,2.0,0.0
interstitial,0,0.1,8697495792,2.0,0.0
patchy,0,0.1,5678886323,2.0,0.0
compact,0,0.1,2954531406,2.0,0.0
diffuse,0,0.1,5859153705,2.0,0.0
interstitial,0,0.1,8636259798,2.0,0.0
patchy,0,0.1,2954531406,2.0,0.0
compact,0,0.1,3945455660,2.0,0.0
interstitial,0,0.1,25234347,2.0,0.0
diffuse,0,0.1,6288530517,2.0,0.0
patchy,0,0.1,3945455660,2.0,0.0
interstitial,0,0.1,9120653987,2.0,0.0
patchy,0,0.1,8697495792,2.0,0.0
compact,0,0.1,8697495792,2.0,0.0
diffuse,0,0.1,5126742590,2.0,0.0
interstitial,0,0.1,7894122240,2.0,0.0
patchy,0,0.1,8636259798,2.0,0.0
compact,0,0.1,8636259798,2.0,0.0
diffuse,0,0.1,4601658087,2.0,0.0
interstitial,0,0.1,5560485340,2.0,0.0
patchy,0,0.1,25234347,2.0,0.0
interstitial,0,0.1,4471704284,2.0,0.0
compact,0,0.1,25234347,2.0,0.0
diffuse,0,0.1,7828718996,2.0,0.0
patchy,0,0.1,9120653987,2.0,0.0
interstitial,0,0.1,1519198587,2.0,0.0
patchy,0,0.1,7894122240,2.0,0.0
compact,0,0.1,9120653987,2.0,0.0
diffuse,0,0.1,3188582674,2.0,0.0
interstitial,0,0.1,5709837683,2.0,0.0
patchy,0,0.1,5560485340,2.0,0.0
interstitial,0,0.1,6160401757,2.0,0.0
compact,0,0.1,7894122240,2.0,0.0
